source_feature,mean_absolute_grouped_shap
Total_Trans_Ct,0.14711750180466218
Total_Trans_Amt,0.09132294347338167
Total_Revolving_Bal,0.06206873625491932
Total_Ct_Chng_Q4_Q1,0.04764457415082296
average_ticket,0.04336007869560962
Avg_Utilization_Ratio,0.039959079169332924
Total_Relationship_Count,0.03099627478401162
contact_ratio,0.02924333213204698
Total_Amt_Chng_Q4_Q1,0.019938466322960795
Months_Inactive_12_mon,0.018476917904691855
Avg_Open_To_Buy,0.01273786869980297
Gender,0.012087778870698139
Credit_Limit,0.010833812087555466
Contacts_Count_12_mon,0.009865310374080559
Customer_Age,0.007698987502652101
Months_on_book,0.0052660828521198045
Marital_Status,0.0051760876221819685
Income_Category,0.0038505951947280805
Education_Level,0.003821212345883518
Dependent_count,0.0031515190536515764
Card_Category,0.0012176949678320117
